mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_rocket__num_kernels,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
2.653715944290161,0.3437272097952927,0.5816402435302734,0.08157466123789794,1.0,50,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 50}",0.7004991680532446,0.6844296419650291,0.6053288925895087,0.7843463780183181,0.7435470441298918,0.7036302249511984,0.06024959363794843,1,0.732976397047099,0.733904511641069,0.6194514212036455,0.8081111255601089,0.7439557825782251,0.7276798476060294,0.06085111123457414,1,0.7004991680532446,0.6844296419650291,0.6053288925895087,0.7843463780183181,0.7435470441298918,0.7036302249511984,0.06024959363794843,1,0.687270431155608,0.6698502853663506,0.5974988406823661,0.7790316495974586,0.7431529609074816,0.6953608335418531,0.06257492344855038,1
20.466777992248534,0.8060144667960766,5.133961296081543,0.2367500080768402,1.0,500,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 500}",0.6381031613976705,0.5387177352206495,0.6519567027477102,0.7668609492089925,0.6802664446294754,0.6551809986408996,0.07344035851593463,4,0.66556713326922,0.5395167555212501,0.6545194644359845,0.7727307467709886,0.6819608139730824,0.6628589827941052,0.07446726951869802,5,0.6381031613976705,0.5387177352206495,0.6519567027477102,0.7668609492089925,0.6802664446294754,0.6551809986408996,0.07344035851593463,4,0.6182040366262432,0.5386851152456306,0.6514926257016181,0.766183780497777,0.6801134701289945,0.6509358056400527,0.07457255267082476,4
41.28960285186768,1.114131395885225,10.431082201004028,0.35241395943730985,1.0,1000,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 1000}",0.610648918469218,0.5620316402997502,0.6086594504579517,0.7377185678601166,0.6369691923397169,0.6312055538853507,0.058470803029136216,15,0.6285939316370719,0.5660513035482264,0.6335291190287913,0.7473355750258193,0.6369243504946422,0.6424868559469102,0.05854885725009423,17,0.610648918469218,0.5620316402997502,0.6086594504579517,0.7377185678601166,0.6369691923397169,0.6312055538853507,0.058470803029136216,15,0.5913336764665598,0.5596082643109969,0.5946254465364885,0.7360966615262058,0.6363070886296885,0.6235942274939879,0.06130669035046845,13
100.13357639312744,6.11082787767182,24.94831781387329,1.691665223372071,1.0,2000,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 2000}",0.6289517470881864,0.5503746877601998,0.6136552872606161,0.7860116569525396,0.6261448792672772,0.6410276516657639,0.07791648397177509,9,0.633581984794271,0.5551907467104719,0.619080204745055,0.8009300381559015,0.6278325163122793,0.6473230981435957,0.08179220525730348,13,0.6289517470881864,0.5503746877601998,0.6136552872606161,0.7860116569525396,0.6261448792672772,0.6410276516657639,0.07791648397177509,9,0.6232009110635711,0.546619905353134,0.6115175563503851,0.7841235732722931,0.6230078534211332,0.6376939598921032,0.07854559106002167,7
160.09756813049316,5.37571561192098,41.78406887054443,2.9874780461466397,1.0,3000,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 3000}",0.6131447587354409,0.5553705245628643,0.5703580349708576,0.723563696919234,0.7194004995836802,0.6363675029544155,0.07204819358218417,13,0.6675317835810732,0.558380690362594,0.5825771879529899,0.7292492878266977,0.7193909478947376,0.6514259795236185,0.06976056636962605,10,0.6131447587354409,0.5553705245628643,0.5703580349708576,0.723563696919234,0.7194004995836802,0.6363675029544155,0.07204819358218417,13,0.5723655697312742,0.5537297227708458,0.5605397359401769,0.7226552868070936,0.7192153691299925,0.6257011368758766,0.0779943512900503,12
221.90189356803893,7.248472093762001,54.48258104324341,3.1521031049534534,1.0,4000,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 4000}",0.6672212978369384,0.5736885928393006,0.5353871773522065,0.6328059950041632,0.6736053288925895,0.6165416783850397,0.0538732809671041,26,0.6759593939814145,0.5751996123267278,0.5361272931068577,0.6422681483529619,0.6739530516952271,0.6207014998926378,0.055816666292114084,27,0.6672212978369384,0.5736885928393006,0.5353871773522065,0.6328059950041632,0.6736053288925895,0.6165416783850397,0.0538732809671041,26,0.6610174919819625,0.5733657461191284,0.5353768698020644,0.6290800854545657,0.6736596459253691,0.614499967856618,0.05259052430394608,22
287.04247441291807,4.91753267863299,69.20083355903625,1.6457399170309739,1.0,5000,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 5000}",0.5474209650582362,0.5520399666944213,0.5312239800166528,0.6902581182348043,0.6361365528726062,0.5914159165753441,0.061447223785008415,35,0.5469727678034882,0.5520020015849115,0.5371675780722488,0.6991512113657069,0.6360742219517441,0.5942735561556199,0.06329606600853034,35,0.5474209650582362,0.5520399666944213,0.5312239800166528,0.6902581182348043,0.6361365528726062,0.5914159165753441,0.061447223785008415,35,0.546855713877352,0.5520194538823457,0.5241458413197042,0.6881301179378339,0.6354998196149643,0.58933018932644,0.06219040428187157,32
343.9535918712616,5.279639417490711,83.06419043540954,4.721179850723416,1.0,6000,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 6000}",0.5748752079866889,0.511240632805995,0.5920066611157369,0.6436303080766028,0.5986677768526228,0.5840841173675293,0.04292359702175901,36,0.5745265408506122,0.5118308106206311,0.5930429619017927,0.6509725110197042,0.5995714681839474,0.5859888585153376,0.04491753231557928,36,0.5748752079866889,0.511240632805995,0.5920066611157369,0.6436303080766028,0.5986677768526228,0.5840841173675293,0.04292359702175901,36,0.5734927042059142,0.5112772291458466,0.5919314185756751,0.6411819636489058,0.5986393962967399,0.5833045423746164,0.04229322085244145,36
419.4136213302612,10.475023465439428,96.8632577419281,4.580839578572754,1.0,7000,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 7000}",0.6339434276206323,0.49375520399666945,0.578684429641965,0.8051623646960866,0.6069941715237303,0.6237079194958167,0.10220044381998303,20,0.6426643677716452,0.49275439495634926,0.6120586444660214,0.8108639738443894,0.6164808186766633,0.6349644399430137,0.10206855689383301,19,0.6339434276206323,0.49375520399666945,0.578684429641965,0.8051623646960866,0.6069941715237303,0.6237079194958167,0.10220044381998303,20,0.6252805748718934,0.49259245640984245,0.5531222265884965,0.8037901803185297,0.5941738959224389,0.6137918668222402,0.10486783744953895,23
476.35934643745424,5.788205223672545,115.84067831039428,3.644913341570059,1.0,8000,"{'ridge__alpha': 1.0, 'rocket__num_kernels': 8000}",0.6148086522462562,0.5936719400499584,0.5686927560366362,0.8109908409658618,0.5928393005828476,0.6362006979763121,0.08860636767910876,14,0.6671351512154761,0.605647943402399,0.6008636967286985,0.8114565549966233,0.5927007993737556,0.6555608291433904,0.08230661950384996,8,0.6148086522462562,0.5936719400499584,0.5686927560366362,0.8109908409658618,0.5928393005828476,0.6362006979763121,0.08860636767910876,14,0.5756516482746282,0.5863765501672495,0.5409588119740034,0.8110207205838909,0.5913319298748128,0.6210679321749171,0.09659181500045866,15
